FastInstructions,n,Instr1.started_mean,Instr1.started_raw,Instr1.started_std,Instr1.stopped_raw,InstrResponse.keys_raw,InstrResponse.rt_mean,InstrResponse.rt_raw,InstrResponse.rt_std,InstrResponse.started_mean,InstrResponse.started_raw,InstrResponse.started_std,InstrResponse.stopped_raw,order
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",1.0,13.909159660339355,13.909159660339355,0.0,,'e',1.0587507486343384,1.0587507486343384,0.0,15.875105857849121,15.875105857849121,0.0,,0.0
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",1.0,16.991559982299805,16.991559982299805,0.0,,'e',0.8014014959335327,0.8014014959335327,0.0,18.975109100341797,18.975109100341797,0.0,,1.0
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",1.0,19.825899124145508,19.825899124145508,0.0,,'e',0.9443566203117371,0.9443566203117371,0.0,21.80896759033203,21.80896759033203,0.0,,2.0

extraInfo
participant,0
session,001
date,2021_Nov_20_1158
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.88339720058978
