SlowInstructions,practicetext,practicecorrect,Statement,Correct,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,encouragetext.started,encouragetext.stopped,encouragekey.keys,encouragekey.started,encouragekey.stopped,encouragekey.rt,participant,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,,,0,0,0,0,,,,,,,,,24.93347682300373,None,f,0.8922664489946328,24.93347682300373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press F to continue,,,,,0,1,1,1,,,,,,,,,25.867384726007003,None,f,0.41013293000287376,25.867384726007003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,2,2,2,,,,,,,,,26.33311909000622,None,f,0.4673491230059881,26.33311909000622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,,,0,3,3,3,,,,,,,,,26.851085767004406,None,f,0.38745833400753327,26.851085767004406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,4,4,4,,,,,,,,,27.282630811998388,None,f,0.3607709110074211,27.282630811998388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,A truck is an animal,j,,,,,,,0,0,0,5,,,,,,,,,,,27.7169507840008,28.167483127996093,28.18372128298506,None,j,1,1.745126017020084,28.684127042011824,None,30.44962079200195,None,space,1.4616846189892385,30.44962079200195,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,Jupiter is the planet we live on,j,,,,,,,0,1,1,6,,,,,,,,,,,31.951305899012368,32.40042067298782,32.4342425299983,None,j,1,0.7412004030193202,32.93406080000568,None,33.70144448100473,None,space,0.33670282099046744,33.70144448100473,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,Humans cannot eat food,j,,,,,,,0,2,2,9,,,,,,,,,,,34.067477631993825,34.53499655800988,34.55082883799332,None,j,1,1.057564482995076,35.051398796989815,None,36.1340292019886,None,space,0.42800308600999415,36.1340292019886,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,Magenta is a color,f,,,,,,,0,3,3,2,,,,,,,,,,,36.58438675600337,37.03452358400682,37.06746619500336,None,f,1,0.47390688900486566,37.567080629989505,None,38.06644239099114,None,space,0.4054208490124438,38.06644239099114,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,A clock is used to tell time,f,,,,,,,0,4,4,3,,,,,,,,,,,38.51695621799445,38.967343339987565,39.000077512988355,None,f,1,0.2753392770246137,39.50028840199229,None,39.80006903098547,None,space,0.29873288501403295,39.80006903098547,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,Humans cannot breathe water,f,,,,,,,0,5,5,4,,,,,,,,,,,40.13410940399626,40.58357227398665,40.61733270200784,None,j,0,1.5305683909973595,41.11701208198792,None,42.6678839919914,None,space,0.39673503499943763,42.6678839919914,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,Mississippi is a country,j,,,,,,,0,6,6,8,,,,,,,,,,,43.084642019995954,43.53368710400537,43.567173465999076,None,j,1,1.64033070197911,44.068221391993575,None,45.73538430800545,None,space,0.39595215398003347,45.73538430800545,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,A circle is a shape,f,,,,,,,0,7,7,0,,,,,,,,,,,46.15171712599113,46.60204342799261,46.635566623008344,None,f,1,0.14653917899704538,47.13469416598673,None,47.300822257995605,None,space,0.2995167829794809,47.300822257995605,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,Dinosaurs are extinct,f,,,,,,,0,8,8,1,,,,,,,,,,,47.6192265439895,48.06882419300382,48.10206581099192,None,f,1,0.35360706798383035,48.6024753380043,None,48.98498974798713,None,space,0.29848525099805556,48.98498974798713,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,The Earth is a star,j,,,,,,,0,9,9,7,,,,,,,,,,,49.30108363198815,49.75256957500824,49.78528531800839,None,j,1,1.6334945509734098,50.285664975992404,None,51.93550580300507,None,space,0.390531357988948,51.93550580300507,None,,,,,,,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.38531651199446,None,f,0.3182624950131867,53.36954777498613,None,,,,,,,,,,,,,,,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Algae is alive,f,,,,,,,,,0,0,0,92,,,,,,,,,,,,,,,,55.90279156900942,None,space,0.7727389159845188,55.90279156900942,None,,,,,,,53.767847351991804,54.16998701301054,54.251700421009446,None,f,1,1.1297250560019165,54.75114263998694,None,55.9013995777932,None,None,55.9013995777932,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A minute cannot be further divided,j,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,61.26981007499853,None,space,0.4705099889833946,61.26981007499853,None,,,,,,,56.70193849800853,57.1019377259945,57.184980472986354,None,j,1,3.553506775002461,57.68483587499941,None,61.269045006803935,None,None,61.269045006803935,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Helicopters reproduce,j,,,,,,,,,0,2,2,86,,,,,,,,,,,,,,,,63.21909936799784,None,space,0.35399489701376297,63.21909936799784,None,,,,,,,61.786345711007016,62.202879082993604,62.268599726987304,None,j,1,0.42138897100812756,62.769149881991325,None,63.21800796780735,None,None,63.21800796780735,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Humans can drink water,f,,,,,,,,,0,3,3,120,,,,,,,,,,,,,,,,65.56904780399054,None,space,0.35478694099583663,65.56904780399054,None,,,,,,,63.61911496400717,64.01890539799933,64.08554987600655,None,f,1,0.9568593489821069,64.58527412000694,None,65.56816308980342,None,None,65.56816308980342,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A minute is endless,j,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,69.48687948100269,None,space,0.4177655189996585,69.48687948100269,None,,,,,,,65.96926619598526,66.36978303801152,66.43541652598651,None,j,1,2.5195604389882647,66.9362398039957,None,69.48622399879969,None,None,69.48622399879969,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Mushrooms reproduce,f,,,,,,,,,0,5,5,96,,,,,,,,,,,,,,,,72.2523274589912,None,space,0.3742161810223479,72.2523274589912,None,,,,,,,69.93637546201353,70.33722933800891,70.43680291398778,None,f,1,1.2884241149877198,70.93718392000301,None,72.2522610607848,None,None,72.2522610607848,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,The United States is a country,f,,,,,,,,,0,6,6,127,,,,,,,,,,,,,,,,74.00336859098752,None,space,0.35421736899297684,74.00336859098752,None,,,,,,,72.65285585701349,73.05405758900451,73.13674832100514,None,f,1,0.3483184489887208,73.63721338400501,None,74.00353734981036,None,None,74.00353734981036,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Space cannot be further divided,j,,,,,,,,,0,7,7,54,,,,,,,,,,,,,,,,80.31957846300793,None,space,0.44034798099892214,80.31957846300793,None,,,,,,,74.40371976001188,74.80394938998506,74.88681000299403,None,j,1,4.912674257997423,75.38741475099232,None,80.32021939879633,None,None,80.32021939879633,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Mittens need nutrients,j,,,,,,,,,0,8,8,104,,,,,,,,,,,,,,,,82.23608184501063,None,space,0.35002181300660595,82.23608184501063,None,,,,,,,80.80326238198904,81.20325708799646,81.28662562300451,None,j,1,0.4231903850159142,81.78776054701302,None,82.23604155078647,None,None,82.23604155078647,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A motorcycle is a vehicle,f,,,,,,,,,0,9,9,123,,,,,,,,,,,,,,,,84.50478976100567,None,space,0.25995273399166763,84.50478976100567,None,,,,,,,82.60373984300531,83.00446983799338,83.08784646200365,None,f,1,0.883978340018075,83.58792579898727,None,84.5036165358033,None,None,84.5036165358033,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Intervals of time cannot go on forever,f,,,,,,,,,0,10,10,20,,,,,,,,,,,,,,,,91.15539550798712,None,space,0.6359638459980488,91.15539550798712,None,,,,,,,84.78827250099857,85.1879706440086,85.27148312199279,None,j,0,5.359855516988318,85.77185704698786,None,91.1541796188103,None,None,91.1541796188103,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A minute can go on forever,j,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,95.3379245410033,None,space,0.1362666140194051,95.3379245410033,None,,,,,,,91.82118319699657,92.22525779198622,92.30389950200333,None,j,1,2.5066910950117745,92.8035831520101,None,95.33772685480653,None,None,95.33772685480653,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Humans cannot eat food,j,,,,,,,,,0,12,12,141,,,,,,,,,,,,,,,,97.52242688598926,None,space,0.1036704349971842,97.52242688598926,None,,,,,,,95.50385887001175,95.90413429299952,95.98764830600703,None,j,1,1.0018180730112363,96.48919411899988,None,97.52223764979863,None,None,97.52223764979863,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Jupiter is the planet we live on,j,,,,,,,,,0,13,13,145,,,,,,,,,,,,,,,,99.80562651398941,None,space,0.12826114302151836,99.80562651398941,None,,,,,,,97.67230665800162,98.0728033129999,98.15490502701141,None,j,1,1.1315830970124807,98.65440971701173,None,99.80484012278612,None,None,99.80484012278612,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Songs can be put in a container,j,,,,,,,,,0,14,14,107,,,,,,,,,,,,,,,,103.5886321660073,None,space,0.16686538798967376,103.5886321660073,None,,,,,,,99.95576990698464,100.35564029600937,100.43905883000116,None,j,1,2.6236711839737836,100.93894681398524,None,103.58798842781107,None,None,103.58798842781107,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Pelicans are alive,f,,,,,,,,,0,15,15,73,,,,,,,,,,,,,,,,105.2549164230004,None,space,0.1856288790004328,105.2549164230004,None,,,,,,,103.78919983201195,104.20475440999144,104.28816956400988,None,f,1,0.4460891849885229,104.78842036999413,None,105.25476222779253,None,None,105.25476222779253,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Hammers are alive,j,,,,,,,,,0,16,16,102,,,,,,,,,,,,,,,,106.72270054000546,None,space,0.14768088300479576,106.72270054000546,None,,,,,,,105.4880697040062,105.88842974501313,105.955199516,None,f,0,0.2382732880068943,106.45619422799791,None,106.72242200479377,None,None,106.72242200479377,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Bricks can be put in a container,f,,,,,,,,,0,17,17,77,,,,,,,,,,,,,,,,108.42332043001079,None,space,0.12479552498552948,108.42332043001079,None,,,,,,,106.88947569401353,107.2876916610112,107.37285118698492,None,f,1,0.5241128500201739,107.8723858880112,None,108.42277974679018,None,None,108.42277974679018,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Spatial intervals can be finite,f,,,,,,,,,0,18,18,24,,,,,,,,,,,,,,,,110.68887963998714,None,space,0.1601999819977209,110.68887963998714,None,,,,,,,108.58901076600887,108.9899487470102,109.07276279598591,None,f,1,1.0995775530172978,109.57181712699821,None,110.68840842379723,None,None,110.68840842379723,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Spatial intervals can go on forever,f,,,,,,,,,0,19,19,29,,,,,,,,,,,,,,,,114.17258824198507,None,space,0.16544945898931473,114.17258824198507,None,,,,,,,110.88924569101073,111.28874787699897,111.37197843199829,None,f,1,2.277747009997256,111.87221529599628,None,114.17209451680537,None,None,114.17209451680537,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Time is endless,f,,,,,,,,,0,20,20,43,,,,,,,,,,,,,,,,116.08942148298956,None,space,2.1673764010192826,116.08942148298956,None,,,,,,,114.37193511499208,114.77183219700237,114.83875561298919,None,f,1,0.5582712819741573,115.33891911600949,None,115.92189852299634,None,space,115.92189852299634,None,0.1491566650220193,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Intervals of time can have an end,f,,,,,,,,,0,21,21,18,,,,,,,,,,,,,,,,122.52267832201323,None,space,0.13292092198389582,122.52267832201323,None,,,,,,,118.29048461600905,118.69018824701197,118.79022821399849,None,f,1,3.2152156310039572,119.28938719298458,None,122.52268069778802,None,None,122.52268069778802,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Five is infinite,j,,,,,,,,,0,22,22,65,,,,,,,,,,,,,,,,124.32365167199168,None,space,0.10051997902337462,124.32365167199168,None,,,,,,,122.70617322900216,123.10614183000871,123.18917048198637,None,j,1,0.6113547220011242,123.68902996799443,None,124.32293574081268,None,None,124.32293574081268,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Foam is composed of matter,f,,,,,,,,,0,23,23,98,,,,,,,,,,,,,,,,126.20622403599555,None,space,0.1778009919798933,126.20622403599555,None,,,,,,,124.4557768680097,124.85637172299903,124.94029105399386,None,f,1,0.7467217429948505,125.439492548001,None,126.20590155679383,None,None,126.20590155679383,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Concrete is composed of matter,f,,,,,,,,,0,24,24,79,,,,,,,,,,,,,,,,127.93971559399506,None,space,0.14428998102084734,127.93971559399506,None,,,,,,,126.40600353400805,126.80643768500886,126.88958099999581,None,f,1,0.5272730519936886,127.38981516499189,None,127.93981669979985,None,None,127.93981669979985,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Numerical intervals can be infinite,f,,,,,,,,,0,25,25,33,,,,,,,,,,,,,,,,129.93975979200331,None,space,0.15809778301627375,129.93975979200331,None,,,,,,,128.12273412500508,128.52318580000428,128.60629909599083,None,f,1,0.8143583399942145,129.1066606339882,None,129.94009639578871,None,None,129.94009639578871,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Spatial intervals  can have an end,f,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,133.12327871099114,None,space,0.15734391901060008,133.12327871099114,None,,,,,,,130.14022499800194,130.54025282899966,130.62320439898758,None,f,1,1.979409604013199,131.12337884301087,None,133.1230341407936,None,None,133.1230341407936,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Frogs reproduce,f,,,,,,,,,0,27,27,76,,,,,,,,,,,,,,,,134.42324562199065,None,space,0.14333203999558464,134.42324562199065,None,,,,,,,133.30683066201163,133.70687205900322,133.78957589899073,None,f,1,0.10486983499140479,134.2899298609991,None,134.42284265780472,None,None,134.42284265780472,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Bubbles can be put in a container,f,,,,,,,,,0,28,28,97,,,,,,,,,,,,,,,,136.69142347801244,None,space,0.1402125820168294,136.69142347801244,None,,,,,,,134.59104817200569,134.99042146699503,135.0732783410058,None,f,1,1.092929306003498,135.57465771399438,None,136.69067435979377,None,None,136.69067435979377,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Numbers are finite,j,,,,,,,,,0,29,29,56,,,,,,,,,,,,,,,,138.37402114699944,None,space,0.12535744099295698,138.37402114699944,None,,,,,,,136.85726281101233,137.25837475800654,137.3415935820085,None,f,0,0.5148161870019976,137.84083316099714,None,138.37455838778988,None,None,138.37455838778988,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Stones reproduce,j,,,,,,,,,0,30,30,106,,,,,,,,,,,,,,,,139.92455829298706,None,space,0.12879457502276637,139.92455829298706,None,,,,,,,138.5244528070034,138.9253574750037,139.0085968140047,None,f,0,0.3840740890009329,139.50828609301243,None,139.92519728880143,None,None,139.92519728880143,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
